id,retrieval_type,top_k,question,gold_source,retrieved_sources,hit,reciprocal_rank,latency_ms
1,similarity,3,RAG 的主要作用是什么？,01_rag_basics.txt,11_rag_hallucination.txt | 12_rag_metadata.txt | 01_rag_basics.txt,1,0.3333,3428.32
2,similarity,3,为什么更新 RAG 知识库通常不需要重新训练大语言模型？,01_rag_basics.txt,11_rag_hallucination.txt | 01_rag_basics.txt | rag_test.txt,1,0.5,2122.03
3,similarity,3,Embedding 在 RAG 系统中主要负责什么？,02_embeddings.txt,01_rag_basics.txt | 11_rag_hallucination.txt | rag_test.txt,0,0.0,2105.14
4,similarity,3,当前项目使用的本地文本向量模型是什么？,02_embeddings.txt,16_vector_metadata_filter.txt | 23_ollama_privacy.txt | 17_topk_tradeoff.txt,0,0.0,2091.67
5,similarity,3,本项目使用哪个数据库存储文本向量？,03_chromadb.txt,16_vector_metadata_filter.txt | 12_rag_metadata.txt | 17_topk_tradeoff.txt,0,0.0,2104.77
6,similarity,3,ChromaDB 除了向量以外还可以保存哪些信息？,03_chromadb.txt,03_chromadb.txt | 15_chroma_persistence.txt | 24_qwen_role.txt,1,1.0,2109.05
7,similarity,3,Similarity Search 中的 Top-K 表示什么？,04_similarity.txt,04_similarity.txt | 18_similarity_redundancy.txt | 17_topk_tradeoff.txt,1,1.0,2133.43
8,similarity,3,普通相似度检索可能存在哪种结果冗余问题？,04_similarity.txt,18_similarity_redundancy.txt | 14_semantic_vs_keyword.txt | 26_streamlit_ui.txt,0,0.0,2187.34
9,similarity,3,MMR 检索相比普通相似度检索增加了什么考虑？,05_mmr.txt,19_mmr_fetchk.txt | 18_similarity_redundancy.txt | 20_mmr_lambda.txt,0,0.0,2095.31
10,similarity,3,MMR 为什么通常需要先获取 fetch_k 个候选文本？,05_mmr.txt,19_mmr_fetchk.txt | 05_mmr.txt | 20_mmr_lambda.txt,1,0.5,2065.81
11,similarity,3,本项目使用什么工具切分长文档？,06_chunking.txt,16_vector_metadata_filter.txt | 17_topk_tradeoff.txt | 12_rag_metadata.txt,0,0.0,2086.88
12,similarity,3,文本切分时保留 overlap 有什么作用？,06_chunking.txt,21_chunk_overlap.txt | 06_chunking.txt | 22_chunk_size.txt,1,0.5,2076.88
13,similarity,3,本项目使用 Ollama 的主要目的是什么？,07_ollama.txt,07_ollama.txt | 23_ollama_privacy.txt | rag_test.txt,1,1.0,2093.16
14,similarity,3,Ollama 默认的本地服务地址是什么？,07_ollama.txt,07_ollama.txt | 23_ollama_privacy.txt | rag_test.txt,1,1.0,2126.81
15,similarity,3,系统的后端接口框架和前端框架分别是什么？,08_fastapi_streamlit.txt,26_streamlit_ui.txt | 08_fastapi_streamlit.txt | 17_topk_tradeoff.txt,1,0.5,2072.46
16,similarity,3,改进后的 sources 会返回哪些来源信息？,08_fastapi_streamlit.txt,26_streamlit_ui.txt | 08_fastapi_streamlit.txt | 18_similarity_redundancy.txt,1,0.5,2066.28
17,similarity,3,系统如何判断一个文件是否已经入库且没有发生变化？,09_incremental_ingestion.txt,14_semantic_vs_keyword.txt | 11_rag_hallucination.txt | 12_rag_metadata.txt,0,0.0,2075.05
18,similarity,3,文件内容发生变化后增量入库会执行什么流程？,09_incremental_ingestion.txt,26_streamlit_ui.txt | 14_semantic_vs_keyword.txt | 08_fastapi_streamlit.txt,0,0.0,2087.73
19,similarity,3,Hit@K 主要评价检索系统的什么能力？,10_evaluation.txt,29_hit_at_k.txt | 17_topk_tradeoff.txt | 10_evaluation.txt,1,0.3333,2097.92
20,similarity,3,MRR 和 Hit@K 的关注重点有什么区别？,10_evaluation.txt,30_mrr.txt | 10_evaluation.txt | 29_hit_at_k.txt,1,0.5,2199.59
21,similarity,3,RAG 为什么能够降低大语言模型产生幻觉的风险？,11_rag_hallucination.txt,11_rag_hallucination.txt | 01_rag_basics.txt | 12_rag_metadata.txt,1,1.0,2061.93
22,similarity,3,如果检索阶段返回了错误文档，生成结果可能出现什么问题？,11_rag_hallucination.txt,14_semantic_vs_keyword.txt | 11_rag_hallucination.txt | 17_topk_tradeoff.txt,1,0.5,2086.64
23,similarity,3,向量数据库中的 metadata 可以用于哪些功能？,12_rag_metadata.txt,16_vector_metadata_filter.txt | 12_rag_metadata.txt | 03_chromadb.txt,1,0.5,2117.21
24,similarity,3,PDF 文档的页码信息通常存放在哪里？,12_rag_metadata.txt,12_rag_metadata.txt | 26_streamlit_ui.txt | 11_rag_hallucination.txt,1,1.0,2174.09
25,similarity,3,当前 nomic-embed-text 输出的向量维度是多少？,13_embedding_dimension.txt,13_embedding_dimension.txt | 23_ollama_privacy.txt | 02_embeddings.txt,1,1.0,2067.77
26,similarity,3,为什么更换 Embedding 模型后通常需要重新构建向量库？,13_embedding_dimension.txt,13_embedding_dimension.txt | 02_embeddings.txt | 07_ollama.txt,1,1.0,2060.3
27,similarity,3,语义检索相比关键词检索有什么优势？,14_semantic_vs_keyword.txt,18_similarity_redundancy.txt | 14_semantic_vs_keyword.txt | 16_vector_metadata_filter.txt,1,0.5,2085.7
28,similarity,3,表达方式不同但意思相近的问题为什么仍可能被检索出来？,14_semantic_vs_keyword.txt,17_topk_tradeoff.txt | 14_semantic_vs_keyword.txt | 09_incremental_ingestion.txt,1,0.5,2151.75
29,similarity,3,ChromaDB 持久化存储有什么作用？,15_chroma_persistence.txt,03_chromadb.txt | 15_chroma_persistence.txt | 24_qwen_role.txt,1,0.5,2081.68
30,similarity,3,为什么 chroma_db 目录不适合提交到 GitHub？,15_chroma_persistence.txt,15_chroma_persistence.txt | 03_chromadb.txt | 28_manifest.txt,1,1.0,2095.27
31,similarity,3,向量数据库的 metadata filter 可以实现什么功能？,16_vector_metadata_filter.txt,16_vector_metadata_filter.txt | 12_rag_metadata.txt | 03_chromadb.txt,1,1.0,2187.5
32,similarity,3,增量更新时系统如何定位需要删除的旧版本向量？,16_vector_metadata_filter.txt,16_vector_metadata_filter.txt | 09_incremental_ingestion.txt | 12_rag_metadata.txt,1,1.0,2067.61
33,similarity,3,Top-K 设置得过小可能导致什么问题？,17_topk_tradeoff.txt,17_topk_tradeoff.txt | 04_similarity.txt | 19_mmr_fetchk.txt,1,1.0,2087.89
34,similarity,3,为什么不存在对所有数据集都最优的固定 Top-K？,17_topk_tradeoff.txt,17_topk_tradeoff.txt | 04_similarity.txt | 19_mmr_fetchk.txt,1,1.0,2068.21
35,similarity,3,Similarity Search 为什么可能返回多个内容高度重复的 chunk？,18_similarity_redundancy.txt,18_similarity_redundancy.txt | 04_similarity.txt | 21_chunk_overlap.txt,1,1.0,2082.53
36,similarity,3,MMR 能缓解普通相似度检索中的什么问题？,18_similarity_redundancy.txt,19_mmr_fetchk.txt | 20_mmr_lambda.txt | 05_mmr.txt,0,0.0,2099.29
37,similarity,3,MMR 中 fetch_k 和最终 k 的关系通常是什么？,19_mmr_fetchk.txt,19_mmr_fetchk.txt | 05_mmr.txt | 29_hit_at_k.txt,1,1.0,2060.29
38,similarity,3,本项目的默认 mmr_fetch_k 设置为多少？,19_mmr_fetchk.txt,19_mmr_fetchk.txt | 05_mmr.txt | 20_mmr_lambda.txt,1,1.0,2067.75
