id,retrieval_type,top_k,question,gold_sources,retrieved_sources,matched_source,first_relevant_rank,hit,reciprocal_rank,latency_ms
1,similarity,3,RAG 的主要作用是什么？,01_rag_basics.txt,11_rag_hallucination.txt | 12_rag_metadata.txt | 01_rag_basics.txt,01_rag_basics.txt,3,1,0.3333,3860.56
2,similarity,3,为什么更新 RAG 知识库通常不需要重新训练大语言模型？,01_rag_basics.txt,11_rag_hallucination.txt | 01_rag_basics.txt | rag_test.txt,01_rag_basics.txt,2,1,0.5,2116.61
3,similarity,3,Embedding 在 RAG 系统中主要负责什么？,02_embeddings.txt,01_rag_basics.txt | 11_rag_hallucination.txt | rag_test.txt,,,0,0.0,2176.66
4,similarity,3,当前项目使用的本地文本向量模型是什么？,02_embeddings.txt | 07_ollama.txt | 13_embedding_dimension.txt | 23_ollama_privacy.txt | rag_test.txt,16_vector_metadata_filter.txt | 23_ollama_privacy.txt | 17_topk_tradeoff.txt,23_ollama_privacy.txt,2,1,0.5,2085.31
5,similarity,3,本项目使用哪个数据库存储文本向量？,03_chromadb.txt | 15_chroma_persistence.txt | rag_test.txt,16_vector_metadata_filter.txt | 12_rag_metadata.txt | 17_topk_tradeoff.txt,,,0,0.0,2060.17
6,similarity,3,ChromaDB 除了向量以外还可以保存哪些信息？,03_chromadb.txt | 12_rag_metadata.txt,03_chromadb.txt | 15_chroma_persistence.txt | 24_qwen_role.txt,03_chromadb.txt,1,1,1.0,2078.78
7,similarity,3,Similarity Search 中的 Top-K 表示什么？,04_similarity.txt | 17_topk_tradeoff.txt,04_similarity.txt | 18_similarity_redundancy.txt | 17_topk_tradeoff.txt,04_similarity.txt,1,1,1.0,2084.47
8,similarity,3,普通相似度检索可能存在哪种结果冗余问题？,04_similarity.txt | 18_similarity_redundancy.txt | 21_chunk_overlap.txt,18_similarity_redundancy.txt | 14_semantic_vs_keyword.txt | 26_streamlit_ui.txt,18_similarity_redundancy.txt,1,1,1.0,2081.96
9,similarity,3,MMR 检索相比普通相似度检索增加了什么考虑？,05_mmr.txt | 18_similarity_redundancy.txt,19_mmr_fetchk.txt | 18_similarity_redundancy.txt | 20_mmr_lambda.txt,18_similarity_redundancy.txt,2,1,0.5,2154.26
10,similarity,3,MMR 为什么通常需要先获取 fetch_k 个候选文本？,05_mmr.txt | 19_mmr_fetchk.txt,19_mmr_fetchk.txt | 05_mmr.txt | 20_mmr_lambda.txt,19_mmr_fetchk.txt,1,1,1.0,2179.33
11,similarity,3,本项目使用什么工具切分长文档？,06_chunking.txt,16_vector_metadata_filter.txt | 17_topk_tradeoff.txt | 12_rag_metadata.txt,,,0,0.0,2179.79
12,similarity,3,文本切分时保留 overlap 有什么作用？,06_chunking.txt | 21_chunk_overlap.txt,21_chunk_overlap.txt | 06_chunking.txt | 22_chunk_size.txt,21_chunk_overlap.txt,1,1,1.0,2130.17
13,similarity,3,本项目使用 Ollama 的主要目的是什么？,07_ollama.txt | 23_ollama_privacy.txt,07_ollama.txt | 23_ollama_privacy.txt | rag_test.txt,07_ollama.txt,1,1,1.0,2188.84
14,similarity,3,Ollama 默认的本地服务地址是什么？,07_ollama.txt,07_ollama.txt | 23_ollama_privacy.txt | rag_test.txt,07_ollama.txt,1,1,1.0,2174.14
15,similarity,3,系统的后端接口框架和前端框架分别是什么？,08_fastapi_streamlit.txt,26_streamlit_ui.txt | 08_fastapi_streamlit.txt | 17_topk_tradeoff.txt,08_fastapi_streamlit.txt,2,1,0.5,2136.5
16,similarity,3,改进后的 sources 会返回哪些来源信息？,08_fastapi_streamlit.txt | 26_streamlit_ui.txt,26_streamlit_ui.txt | 08_fastapi_streamlit.txt | 18_similarity_redundancy.txt,26_streamlit_ui.txt,1,1,1.0,2149.2
17,similarity,3,系统如何判断一个文件是否已经入库且没有发生变化？,09_incremental_ingestion.txt | 27_sha256.txt | 28_manifest.txt,14_semantic_vs_keyword.txt | 11_rag_hallucination.txt | 12_rag_metadata.txt,,,0,0.0,2148.88
18,similarity,3,文件内容发生变化后增量入库会执行什么流程？,09_incremental_ingestion.txt | 28_manifest.txt,26_streamlit_ui.txt | 14_semantic_vs_keyword.txt | 08_fastapi_streamlit.txt,,,0,0.0,2199.13
19,similarity,3,Hit@K 主要评价检索系统的什么能力？,10_evaluation.txt | 29_hit_at_k.txt,29_hit_at_k.txt | 17_topk_tradeoff.txt | 10_evaluation.txt,29_hit_at_k.txt,1,1,1.0,2098.65
20,similarity,3,MRR 和 Hit@K 的关注重点有什么区别？,10_evaluation.txt,30_mrr.txt | 10_evaluation.txt | 29_hit_at_k.txt,10_evaluation.txt,2,1,0.5,2065.49
21,similarity,3,RAG 为什么能够降低大语言模型产生幻觉的风险？,11_rag_hallucination.txt,11_rag_hallucination.txt | 01_rag_basics.txt | 12_rag_metadata.txt,11_rag_hallucination.txt,1,1,1.0,2083.94
22,similarity,3,如果检索阶段返回了错误文档，生成结果可能出现什么问题？,11_rag_hallucination.txt,14_semantic_vs_keyword.txt | 11_rag_hallucination.txt | 17_topk_tradeoff.txt,11_rag_hallucination.txt,2,1,0.5,2148.36
23,similarity,3,向量数据库中的 metadata 可以用于哪些功能？,12_rag_metadata.txt | 03_chromadb.txt | 16_vector_metadata_filter.txt,16_vector_metadata_filter.txt | 12_rag_metadata.txt | 03_chromadb.txt,16_vector_metadata_filter.txt,1,1,1.0,2147.7
24,similarity,3,PDF 文档的页码信息通常存放在哪里？,12_rag_metadata.txt | 08_fastapi_streamlit.txt,12_rag_metadata.txt | 26_streamlit_ui.txt | 11_rag_hallucination.txt,12_rag_metadata.txt,1,1,1.0,2160.12
25,similarity,3,当前 nomic-embed-text 输出的向量维度是多少？,13_embedding_dimension.txt | 02_embeddings.txt,13_embedding_dimension.txt | 23_ollama_privacy.txt | 02_embeddings.txt,13_embedding_dimension.txt,1,1,1.0,2144.39
26,similarity,3,为什么更换 Embedding 模型后通常需要重新构建向量库？,13_embedding_dimension.txt,13_embedding_dimension.txt | 02_embeddings.txt | 07_ollama.txt,13_embedding_dimension.txt,1,1,1.0,2111.09
27,similarity,3,语义检索相比关键词检索有什么优势？,14_semantic_vs_keyword.txt | 02_embeddings.txt,18_similarity_redundancy.txt | 14_semantic_vs_keyword.txt | 16_vector_metadata_filter.txt,14_semantic_vs_keyword.txt,2,1,0.5,2068.06
28,similarity,3,表达方式不同但意思相近的问题为什么仍可能被检索出来？,14_semantic_vs_keyword.txt | 02_embeddings.txt,17_topk_tradeoff.txt | 14_semantic_vs_keyword.txt | 09_incremental_ingestion.txt,14_semantic_vs_keyword.txt,2,1,0.5,2069.6
29,similarity,3,ChromaDB 持久化存储有什么作用？,15_chroma_persistence.txt | 03_chromadb.txt,03_chromadb.txt | 15_chroma_persistence.txt | 24_qwen_role.txt,03_chromadb.txt,1,1,1.0,2143.65
30,similarity,3,为什么 chroma_db 目录不适合提交到 GitHub？,15_chroma_persistence.txt,15_chroma_persistence.txt | 03_chromadb.txt | 28_manifest.txt,15_chroma_persistence.txt,1,1,1.0,2161.08
31,similarity,3,向量数据库的 metadata filter 可以实现什么功能？,16_vector_metadata_filter.txt | 12_rag_metadata.txt,16_vector_metadata_filter.txt | 12_rag_metadata.txt | 03_chromadb.txt,16_vector_metadata_filter.txt,1,1,1.0,2175.56
32,similarity,3,增量更新时系统如何定位需要删除的旧版本向量？,16_vector_metadata_filter.txt | 09_incremental_ingestion.txt,16_vector_metadata_filter.txt | 09_incremental_ingestion.txt | 12_rag_metadata.txt,16_vector_metadata_filter.txt,1,1,1.0,2164.16
33,similarity,3,Top-K 设置得过小可能导致什么问题？,17_topk_tradeoff.txt | 04_similarity.txt,17_topk_tradeoff.txt | 04_similarity.txt | 19_mmr_fetchk.txt,17_topk_tradeoff.txt,1,1,1.0,2132.78
34,similarity,3,为什么不存在对所有数据集都最优的固定 Top-K？,17_topk_tradeoff.txt,17_topk_tradeoff.txt | 04_similarity.txt | 19_mmr_fetchk.txt,17_topk_tradeoff.txt,1,1,1.0,2162.49
35,similarity,3,Similarity Search 为什么可能返回多个内容高度重复的 chunk？,18_similarity_redundancy.txt | 04_similarity.txt | 21_chunk_overlap.txt,18_similarity_redundancy.txt | 04_similarity.txt | 21_chunk_overlap.txt,18_similarity_redundancy.txt,1,1,1.0,2147.31
36,similarity,3,MMR 能缓解普通相似度检索中的什么问题？,18_similarity_redundancy.txt | 05_mmr.txt,19_mmr_fetchk.txt | 20_mmr_lambda.txt | 05_mmr.txt,05_mmr.txt,3,1,0.3333,2189.48
37,similarity,3,MMR 中 fetch_k 和最终 k 的关系通常是什么？,19_mmr_fetchk.txt | 05_mmr.txt,19_mmr_fetchk.txt | 05_mmr.txt | 29_hit_at_k.txt,19_mmr_fetchk.txt,1,1,1.0,2192.44
38,similarity,3,本项目的默认 mmr_fetch_k 设置为多少？,19_mmr_fetchk.txt | 05_mmr.txt,19_mmr_fetchk.txt | 05_mmr.txt | 20_mmr_lambda.txt,19_mmr_fetchk.txt,1,1,1.0,2054.85
39,similarity,3,MMR 中 lambda_mult 用来控制什么？,20_mmr_lambda.txt | 05_mmr.txt,20_mmr_lambda.txt | 05_mmr.txt | 19_mmr_fetchk.txt,20_mmr_lambda.txt,1,1,1.0,2079.99
40,similarity,3,本项目默认的 lambda_mult 是多少？,20_mmr_lambda.txt | 05_mmr.txt,20_mmr_lambda.txt | 05_mmr.txt | 16_vector_metadata_filter.txt,20_mmr_lambda.txt,1,1,1.0,2179.36
41,similarity,3,本项目的 chunk_overlap 设置为多少？,21_chunk_overlap.txt | 06_chunking.txt,21_chunk_overlap.txt | 22_chunk_size.txt | 06_chunking.txt,21_chunk_overlap.txt,1,1,1.0,2082.71
42,similarity,3,chunk_overlap 设置过大会带来什么问题？,21_chunk_overlap.txt | 06_chunking.txt,21_chunk_overlap.txt | 22_chunk_size.txt | 06_chunking.txt,21_chunk_overlap.txt,1,1,1.0,2128.98
43,similarity,3,本项目默认的 chunk_size 是多少？,22_chunk_size.txt | 06_chunking.txt,22_chunk_size.txt | 21_chunk_overlap.txt | 06_chunking.txt,22_chunk_size.txt,1,1,1.0,2141.79
